,RRT_t,unsmoothed_l,number_nodes_sampled,smoothing_t,smoothed_l
0,28.36676573753357,24.450000000000014,6721,3.9338457584381104,16.720000000000002
1,37.83317732810974,40.34800000000001,8418,4.372668981552124,20.693999999999996
2,271.5000274181366,31.804000000000006,27654,7.255600929260254,16.472
3,108.67080783843994,19.766,15331,5.06640100479126,14.576
4,77.08276915550232,22.296000000000006,11322,8.469950914382935,13.084000000000001
5,17.533228874206543,30.938,3009,6.052995681762695,22.504
6,44.59304237365723,21.688000000000002,7677,7.160040616989136,14.828
7,11.588102102279663,22.26399999999998,1845,6.481683015823364,16.11
8,14.492557287216187,27.835999999999977,2482,6.978273868560791,17.868
9,18.32494068145752,24.667999999999996,3180,5.693843126296997,17.752
10,55.5928750038147,29.10999999999998,8165,7.766412973403931,17.125999999999998
11,27.9532527923584,20.414,4605,5.809424161911011,14.145999999999999
12,46.88381481170654,33.00000000000001,7357,7.307630300521851,17.028
13,4.562572002410889,25.970000000000017,764,5.6267712116241455,17.881999999999994
14,20.870450496673584,29.20200000000001,3447,7.70508885383606,16.856
15,16.995476484298706,50.85400000000003,2817,5.306628704071045,24.768
16,45.84586000442505,24.067999999999994,7653,4.347153663635254,14.244000000000002
17,55.459208488464355,42.04399999999999,9488,5.298691272735596,25.686
18,300.9596004486084,42.23200000000002,31051,7.128592491149902,20.092
19,11.578045129776001,27.245999999999984,2279,8.86383318901062,16.520000000000003
20,14.562617063522339,25.567999999999984,3105,6.375444173812866,17.03
21,65.6811010837555,26.854000000000006,9423,6.868574619293213,16.381999999999998
22,24.226534128189087,32.00000000000001,4682,6.775750637054443,20.672
23,40.92041897773743,31.506000000000007,6544,7.269308567047119,17.648000000000003
24,106.92783427238464,24.514000000000014,15605,4.1674110889434814,15.970000000000002
25,37.67111825942993,27.154000000000007,5919,4.986314058303833,17.942
26,17.79373788833618,18.490000000000002,4523,6.867270469665527,14.661999999999999
27,49.366947412490845,25.445999999999998,9169,4.635310649871826,19.304000000000002
28,22.31911873817444,41.96799999999995,4048,4.663779020309448,17.241999999999997
29,18.429423332214355,28.26399999999997,3075,5.741993188858032,18.483999999999998
