,RRT_t,unsmoothed_l,number_nodes_sampled
0,2.936277389526367,23.100000000000012,525
1,5.963939189910889,26.032000000000004,936
2,1.6486797332763672,25.146000000000008,266
3,3.907402992248535,31.950000000000017,605
4,2.3303909301757812,30.105999999999984,378
5,6.151415586471558,29.664,923
6,2.8000400066375732,30.008000000000006,381
7,4.5184972286224365,20.486000000000008,598
8,1.9741342067718506,26.795999999999985,339
9,1.0867435932159424,25.01199999999998,183
10,2.243859052658081,27.852,396
11,2.5412487983703613,25.084000000000007,400
12,0.6381380558013916,19.293999999999993,154
13,2.4595251083374023,25.594,383
14,1.5831382274627686,28.874000000000024,318
15,2.1706106662750244,34.25200000000003,413
16,3.2404634952545166,23.198000000000004,488
17,3.0007729530334473,31.006000000000007,499
18,3.2234935760498047,27.14799999999997,361
19,0.7069814205169678,23.42000000000002,152
20,2.6972291469573975,26.62199999999999,435
21,1.7115545272827148,27.01199999999998,352
22,8.315495729446411,30.336000000000016,1093
23,1.4361908435821533,22.402,225
24,3.201186180114746,21.70200000000001,538
25,0.862494945526123,22.00199999999998,163
26,3.213012456893921,30.791999999999998,564
27,1.6290233135223389,25.847999999999992,240
28,4.087092638015747,26.95599999999999,619
29,1.5051875114440918,25.886000000000013,307
